Today's date is,01/05/17 15:04:26
Company,Current Price,52 Week Low,Percent of 52 Week Low
"Bed Bath & Beyond Inc. (BBBY)",41.16,38.6,6.63
"Brown-Forman Corporation (BF-B)",45.31,43.82,3.4
"Henry Schein, Inc. (HSIC)",155.71,142.6,9.19
"Cerner Corporation (CERN)",47.65,47.01,1.36
"The Coca-Cola Company (KO)",41.75,39.88,4.69
"Colgate-Palmolive Company (CL)",66.84,61.4,8.86
"Coty Inc. (COTY)",18.92,17.94,5.46
"DENTSPLY SIRONA Inc. (XRAY)",58.33,53.43,9.17
"Dollar Tree, Inc. (DLTR)",78.04,72.52,7.61
"The Estée Lauder Companies Inc. (EL)",78.61,75.3,4.4
"Express Scripts Holding Company (ESRX)",70.87,64.46,9.94
"Federal Realty Investment Trust (FRT)",145.33,134.3,8.21
"FirstEnergy Corp. (FE)",30.84,29.33,5.15
"General Growth Properties, Inc (GGP)",26.01,23.89,8.87
"Gilead Sciences Inc. (GILD)",76.01,70.83,7.31
"Hanesbrands Inc. (HBI)",22.61,21.4,5.65
"Hormel Foods Corporation (HRL)",36.17,33.18,9.01
"Kellogg Company (K)",73.12,68.73,6.39
"Kimberly-Clark Corporation (KMB)",116.0,111.3,4.22
"Kimco Realty Corporation (KIM)",26.07,24.35,7.06
"L Brands, Inc. (LB)",62.03,60.0,3.38
"The Macerich Company (MAC)",72.54,66.0,9.91
"Macy's, Inc. (M)",30.86,29.94,3.07
"McDonald's Corporation (MCD)",119.69,110.3,8.51
"Mead Johnson Nutrition Company (MJN)",71.68,65.53,9.39
"Medtronic plc (MDT)",70.79,69.35,2.08
"Nielsen Holdings plc (NLSN)",42.51,41.0,3.68
"NIKE, Inc. (NKE)",53.06,49.01,8.26
"Perrigo Company plc (PRGO)",86.58,79.72,8.61
"Philip Morris International Inc. (PM)",91.13,84.46,7.9
"Ralph Lauren Corporation (RL)",89.03,82.15,8.37
"PPG Industries, Inc. (PPG)",95.61,88.37,8.19
"PPL Corporation (PPL)",34.31,32.08,6.95
"Simon Property Group, Inc. (SPG)",184.46,173.1,6.56
"The Southern Company (SO)",49.14,46.0,6.83
"Stericycle, Inc. (SRCL)",77.65,71.52,8.57
"TripAdvisor, Inc. (TRIP)",49.2,45.63,7.82
"Under Armour, Inc. (UAA)",30.28,29.0,4.41
"Universal Health Services, Inc. (UHS)",108.8,99.72,9.11
"V.F. Corporation (VFC)",53.25,51.76,2.88
